"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Gene"
"ENSG00000261618"	185.237990855278	2.28359745614468	0.337259071301463	8.10829599121425	5.13345642148988e-16	6.68102241735502e-13	""
"ENSG00000170542"	2772.20969784939	2.13452644208804	0.351036705144904	8.1000807034706	5.49227410102666e-16	6.70126093751515e-13	"SERPINB9"
"ENSG00000128641"	629.808909504848	1.53906226030481	0.354068364134387	8.07717145722567	6.62863157980808e-16	7.61200857064785e-13	"MYO1B"
"ENSG00000115008"	1808.08038564317	2.07082276573582	0.353865640474342	8.01977987156001	1.0593483699535e-15	1.03402994391161e-12	"IL1A"
"ENSG00000121594"	1085.728737692	2.09198624597856	0.358406460545199	8.02298312584031	1.03207532622795e-15	1.03402994391161e-12	"CD80"
"ENSG00000161570"	3840.4996580266	2.00625267053078	0.354579438599544	8.0259190359943	1.00768667908478e-15	1.03402994391161e-12	"CCL5"
"ENSG00000121380"	36.5969696553729	1.28816250900889	0.362048698864381	7.92255791801217	2.32673650550393e-15	2.16297857430704e-12	"BCL2L14"
"ENSG00000233834"	63.0563707618423	1.62667341174943	0.36786495761651	7.84760934616151	4.24042650975749e-15	3.76280028743117e-12	""
"ENSG00000111186"	62.4981734578636	1.86709474430378	0.341788827614449	7.8162128143696	5.44363115509466e-15	4.62045945259817e-12	"WNT5B"
"ENSG00000138378"	1180.79465209521	2.07061232436683	0.351960340411433	7.74854706234033	9.29499215769338e-15	7.2582734760996e-12	"STAT4"
"ENSG00000150510"	171.155581023001	1.46208352940379	0.364288591792843	7.75078360390895	9.13272052217204e-15	7.2582734760996e-12	"FAM124A"
"ENSG00000240907"	49.3722337320107	1.14990930112739	0.361206908241702	7.69965717484344	1.36431763453988e-14	1.02439264851875e-11	""
"ENSG00000131203"	7814.80059286639	1.85980617214241	0.359049701766929	7.69373441677163	1.42901524161529e-14	1.03323094617829e-11	"IDO1"
"ENSG00000211689"	226.883377772	2.16491119437421	0.357352171989137	7.65547793295895	1.92594619831807e-14	1.34279720298448e-11	"TRGC1"
"ENSG00000172817"	76.550645540731	1.93115999346394	0.363496008366088	7.64636616365904	2.06738424556138e-14	1.39170604282239e-11	"CYP7B1"
"ENSG00000105246"	1268.74665194201	1.69994364062627	0.351561080434153	7.5938875947428	3.10447725812021e-14	2.02018683443409e-11	"EBI3"
"ENSG00000041982"	81.8274942412444	1.61256685203632	0.36617226681789	7.54677839645033	4.46156778856171e-14	2.80963633446134e-11	"TNC"
"ENSG00000253838"	180.196363645504	1.89043033066091	0.362411453374866	7.53432894698139	4.90852471166576e-14	2.99450685691059e-11	""
"ENSG00000123610"	6188.00228451196	2.07528325549237	0.327720514523623	7.51014840653103	5.90603707943332e-14	3.49386835953628e-11	"TNFAIP6"
"ENSG00000133962"	51.394762007691	1.688805359202	0.355085059177262	7.48956708379988	6.91011584029289e-14	3.96762592453523e-11	"CATSPERB"
"ENSG00000140519"	53.2751127215541	1.61231285978091	0.360823492536622	7.45667537882507	8.87329610534898e-14	4.9492710448178e-11	"RHCG"
"ENSG00000254287"	125.400323237514	1.77893951999735	0.365977625797515	7.44895306366173	9.40838333375213e-14	5.10195720670858e-11	""
"ENSG00000205755"	230.234913891736	1.55696877122166	0.351661877773209	7.441746536819	9.93627338861416e-14	5.24259267817637e-11	"CRLF2"
"ENSG00000136688"	642.536641454824	1.96593638783738	0.331442496141983	7.41354594804695	1.22966411894625e-13	6.31723761317595e-11	"IL36G"
"ENSG00000213949"	699.584430454661	1.71852626004192	0.341471104023822	7.3337476516874	2.23804329651581e-13	1.12028413422004e-10	"ITGA1"
"ENSG00000166396"	232.675173502869	1.76826890280772	0.336225119443116	7.31083470289973	2.65487964677589e-13	1.29571401160897e-10	"SERPINB7"
"ENSG00000129277"	4222.56095778815	1.92703717077748	0.349069450215162	7.26389714350147	3.76094034928618e-13	1.79075798777475e-10	"CCL4"
"ENSG00000124216"	263.909746724326	2.09875794783371	0.358035566267067	7.25898844928673	3.89995773596477e-13	1.81273749813105e-10	"SNAI1"
"ENSG00000004799"	63.8146321351468	-1.92312762019238	0.321444941701111	-7.1939213123211	6.29564873251508e-13	2.79326487627635e-10	"PDK4"
"ENSG00000124496"	941.203481188323	-1.54062515660683	0.350639906722271	-7.19670443089802	6.16852769656691e-13	2.79326487627635e-10	"TRERF1"
"ENSG00000114251"	343.883582906035	1.33783614048046	0.318894065745058	7.18934333265092	6.51036751775132e-13	2.82434210403425e-10	"WNT5A"
"ENSG00000230647"	92.742632302703	1.85227835083496	0.333159364391755	7.18050850166238	6.94526105022404e-13	2.94750839614073e-10	""
"ENSG00000006075"	2565.49731226612	1.87411842835175	0.34747121150519	7.16237183089212	7.9292993262755e-13	3.09633607070678e-10	"CCL3"
"ENSG00000013619"	303.345101861223	1.71603476675001	0.33505369703111	7.16235322105071	7.93037616716213e-13	3.09633607070678e-10	"MAMLD1"
"ENSG00000125430"	1551.98823185474	1.98437749307989	0.326155658880988	7.16256659702531	7.91803797572097e-13	3.09633607070678e-10	"HS3ST3B1"
"ENSG00000211445"	127.55703471556	1.97452359920067	0.329976177061911	7.17045931942808	7.47465553486146e-13	3.09633607070678e-10	"GPX3"
"ENSG00000260583"	25.5042678015197	1.86072878363347	0.36584097523182	7.14034044928206	9.31000397132963e-13	3.563723480947e-10	"LINC00515"
"ENSG00000131979"	2022.98848334872	2.17754597637664	0.32819259551752	7.13506058871999	9.67445354929449e-13	3.63201311902552e-10	"GCH1"
"ENSG00000253939"	25.5645901953572	1.68149124695136	0.365474440773611	7.12260365766446	1.05907046103829e-12	3.90097613969614e-10	""
"ENSG00000134470"	652.06850428829	1.96685230458728	0.323523659680215	7.11923270294427	1.0852954160021e-12	3.92354390948017e-10	"IL15RA"
"ENSG00000117090"	586.996833368299	2.26771321418786	0.342306512652345	7.11314834691434	1.13425246824108e-12	4.02597757909134e-10	"SLAMF1"
"ENSG00000078081"	1939.73566954231	1.83652350020447	0.338948465586417	7.10358595855002	1.21560680926716e-12	4.23769216616311e-10	"LAMP3"
"ENSG00000137757"	155.224483030215	1.96905519681436	0.35740942859485	7.09913515907937	1.2553999042812e-12	4.29963454936447e-10	"CASP5"
"ENSG00000125538"	24768.7211104832	1.78047900269424	0.353671658274314	7.09250360844549	1.31707205642245e-12	4.43308287680674e-10	"IL1B"
"ENSG00000105711"	236.33205905405	1.80982021542947	0.323255032343009	7.07598346203772	1.48392559498513e-12	4.91003312971182e-10	"SCN1B"
"ENSG00000230438"	122.06803302525	2.11773229586468	0.330163350353034	7.07119505566498	1.53605044307118e-12	4.99779612493926e-10	""
"ENSG00000173918"	372.072932622546	1.53298177087323	0.345009464050559	7.06162734500776	1.64563831717962e-12	5.26658216852142e-10	"C1QTNF1"
"ENSG00000180616"	315.966040356607	2.13291453481087	0.327926463721539	7.04285212362504	1.88344088963534e-12	5.93040855604212e-10	"SSTR2"
"ENSG00000164181"	654.505619756694	1.85619326566385	0.344327411435987	7.03856694234753	1.94226985949205e-12	6.01857019000059e-10	"ELOVL7"
"ENSG00000153898"	1363.90005637553	1.86807874661604	0.317368318755524	7.03018163245427	2.06264852783796e-12	6.22338306204255e-10	"MCOLN2"
"ENSG00000168685"	7411.01911067107	1.95528645632081	0.325079132657864	7.02954216847233	2.07212324061451e-12	6.22338306204255e-10	"IL7R"
"ENSG00000224116"	33.6574498634684	1.53997384048494	0.360766848661094	7.01905427592057	2.23375005293671e-12	6.60716189900463e-10	"INHBA-AS1"
"ENSG00000159166"	104.52507344838	1.65095129436959	0.322008313204948	7.01519722176025	2.2962481743754e-12	6.69065027763531e-10	"LAD1"
"ENSG00000227191"	68.2423541374545	2.10381305054734	0.334053832640804	7.00423781759798	2.48333984445126e-12	7.12937653579082e-10	"TRGC2"
"ENSG00000122547"	542.956156807941	-1.62377090458362	0.320244611780397	-6.98431928695934	2.86240421998282e-12	8.09852973659488e-10	"EEPD1"
"ENSG00000197272"	349.800144996468	2.15785636965427	0.336058025409916	6.96992435322692	3.17111451075029e-12	8.84378535412387e-10	"IL27"
