FileName	Sample Name
WTCHG_443731_263173	S229
WTCHG_443731_264112	S287
WTCHG_443731_264185	S322
WTCHG_443731_265102	S295
WTCHG_443731_265195	S413
WTCHG_443731_266114	FG74F
WTCHG_443731_266183	S59
WTCHG_443731_267126	S328
WTCHG_443731_267171	S113
WTCHG_443731_268159	FG88
WTCHG_443731_269150	S258
WTCHG_443731_270135	S55
WTCHG_443731_270162	FG138
WTCHG_443731_271123	FG125F
WTCHG_443731_271174	S381
WTCHG_443731_273103	S281
WTCHG_443731_273194	S303
WTCHG_443731_274115	S12
WTCHG_443731_274182	S110
WTCHG_443731_275127	S86
WTCHG_443731_275170	FG124M
WTCHG_443731_276139	FG81F
WTCHG_443731_277151	S30
WTCHG_443731_278163	S336
WTCHG_443731_279122	FG156
WTCHG_443731_279175	S398
WTCHG_443731_280110	S94
WTCHG_443731_280187	FG130M
WTCHG_443731_281104	S52
WTCHG_443731_281193	FG136
WTCHG_443731_282116	S272
WTCHG_443731_282181	S225
WTCHG_443731_283128	S37
WTCHG_443731_283169	S120
WTCHG_443731_284140	S421
WTCHG_443731_285152	S61
WTCHG_443731_286164	S137
WTCHG_443731_287176	S486
WTCHG_443731_288109	S430
WTCHG_443731_288188	S130
WTCHG_443731_289105	S414
WTCHG_443731_289192	S498
WTCHG_443731_290117	S291
WTCHG_443731_290180	S278
WTCHG_443731_291168	S51
WTCHG_443731_292141	FG101
WTCHG_443731_293153	S317
WTCHG_443731_294165	FG39R
WTCHG_443731_295120	S115
WTCHG_443731_295177	FG156M
WTCHG_443732_201106	S243
WTCHG_443732_201191	S97
WTCHG_443732_202118	S302
WTCHG_443732_203130	S132
WTCHG_443732_204142	S40
WTCHG_443732_205154	S171
WTCHG_443732_207119	S174
WTCHG_443732_208107	S196
WTCHG_443732_209190	S358
WTCHG_443732_210178	FG124F
WTCHG_443732_213142	S448
WTCHG_443732_214130	S224
WTCHG_443732_216106	FG150M
WTCHG_443732_217189	S203
WTCHG_443732_218177	S90
WTCHG_443732_223117	S465
WTCHG_443732_226176	S290
WTCHG_443732_230128	S422
WTCHG_443732_235163	S88
WTCHG_443732_240103	S181
WTCHG_443732_242174	S11
WTCHG_443732_249185	S125
WTCHG_443732_250173	S384
WTCHG_443732_257101	S164
WTCHG_443732_257196	S161
WTCHG_443732_258113	S306
WTCHG_443732_258184	S274
WTCHG_443732_259125	S84
WTCHG_443732_259172	FG44M
WTCHG_443732_260137	S38
WTCHG_443732_260160	S363
WTCHG_443732_261148	S34
WTCHG_443732_261149	S439
WTCHG_443732_262136	S208
WTCHG_443732_263173	S229
WTCHG_443732_264112	S287
WTCHG_443732_264185	S322
WTCHG_443732_265102	S295
WTCHG_443732_265195	S413
WTCHG_443732_266114	FG74F
WTCHG_443732_266183	S59
WTCHG_443732_267126	S328
WTCHG_443732_267171	S113
WTCHG_443732_268159	FG88
WTCHG_443732_269150	S258
WTCHG_443732_270135	S55
WTCHG_443732_270162	FG138
WTCHG_443732_271123	FG125F
WTCHG_443732_271174	S381
WTCHG_443732_273103	S281
WTCHG_443732_273194	S303
WTCHG_443732_274115	S12
WTCHG_443732_274182	S110
WTCHG_443732_275127	S86
WTCHG_443732_275170	FG124M
WTCHG_443732_276139	FG81F
WTCHG_443732_277151	S30
WTCHG_443732_278163	S336
WTCHG_443732_279122	FG156
WTCHG_443732_279175	S398
WTCHG_443732_280110	S94
WTCHG_443732_280187	FG130M
WTCHG_443732_281104	S52
WTCHG_443732_281193	FG136
WTCHG_443732_282116	S272
WTCHG_443732_282181	S225
WTCHG_443732_283128	S37
WTCHG_443732_283169	S120
WTCHG_443732_284140	S421
WTCHG_443732_285152	S61
WTCHG_443732_286164	S137
WTCHG_443732_287176	S486
WTCHG_443732_288109	S430
WTCHG_443732_288188	S130
WTCHG_443732_289105	S414
WTCHG_443732_289192	S498
WTCHG_443732_290117	S291
WTCHG_443732_290180	S278
WTCHG_443732_291168	S51
WTCHG_443732_292141	FG101
WTCHG_443732_293153	S317
WTCHG_443732_294165	FG39R
WTCHG_443732_295120	S115
WTCHG_443732_295177	FG156M
WTCHG_443733_201106	S243
WTCHG_443733_201191	S97
WTCHG_443733_202118	S302
WTCHG_443733_203130	S132
WTCHG_443733_204142	S40
WTCHG_443733_205154	S171
WTCHG_443733_207119	S174
WTCHG_443733_208107	S196
WTCHG_443733_209190	S358
WTCHG_443733_210178	FG124F
WTCHG_443733_213142	S448
WTCHG_443733_214130	S224
WTCHG_443733_216106	FG150M
WTCHG_443733_217189	S203
WTCHG_443733_218177	S90
WTCHG_443733_223117	S465
WTCHG_443733_226176	S290
WTCHG_443733_230128	S422
WTCHG_443733_235163	S88
WTCHG_443733_240103	S181
WTCHG_443733_242174	S11
WTCHG_443733_249185	S125
WTCHG_443733_250173	S384
WTCHG_443733_257101	S164
WTCHG_443733_257196	S161
WTCHG_443733_258113	S306
WTCHG_443733_258184	S274
WTCHG_443733_259125	S84
WTCHG_443733_259172	FG44M
WTCHG_443733_260137	S38
WTCHG_443733_260160	S363
WTCHG_443733_261148	S34
WTCHG_443733_261149	S439
WTCHG_443733_262136	S208
WTCHG_443733_263173	S229
WTCHG_443733_264112	S287
WTCHG_443733_264185	S322
WTCHG_443733_265102	S295
WTCHG_443733_265195	S413
WTCHG_443733_266114	FG74F
WTCHG_443733_266183	S59
WTCHG_443733_267126	S328
WTCHG_443733_267171	S113
WTCHG_443733_268159	FG88
WTCHG_443733_269150	S258
WTCHG_443733_270135	S55
WTCHG_443733_270162	FG138
WTCHG_443733_271123	FG125F
WTCHG_443733_271174	S381
WTCHG_443733_273103	S281
WTCHG_443733_273194	S303
WTCHG_443733_274115	S12
WTCHG_443733_274182	S110
WTCHG_443733_275127	S86
WTCHG_443733_275170	FG124M
WTCHG_443733_276139	FG81F
WTCHG_443733_277151	S30
WTCHG_443733_278163	S336
WTCHG_443733_279122	FG156
WTCHG_443733_279175	S398
WTCHG_443733_280110	S94
WTCHG_443733_280187	FG130M
WTCHG_443733_281104	S52
WTCHG_443733_281193	FG136
WTCHG_443733_282116	S272
WTCHG_443733_282181	S225
WTCHG_443733_283128	S37
WTCHG_443733_283169	S120
WTCHG_443733_284140	S421
WTCHG_443733_285152	S61
